id_user,nom
10,My Rock Playlist
5,Party Mix
15,Chill Vibes
5,Morning Jams
12,Dance Party
7,Road Trip Tunes
20,Relaxation Sounds
18,Throwback Hits
11,Summer Vibes
3,Workout Beats
25,Feel Good Songs
32,R&B Collection
19,Acoustic Favorites
9,Country Hits
60,Indie Vibes
4,Classic Rock
2,Pop Party
5,Electronic Beats
17,Reggae Grooves
13,Jazz Lounge
22,Blues Classics
1,Hip Hop Anthems
28,90s Throwbacks
6,Latin Fiesta
55,Disco Fever
14,Folk Melodies
24,Alternative Rock
36,EDM Extravaganza
49,Motivation Mix
16,Classical Masterpieces
38,Soulful Rhythms
27,Instrumental Serenade
5,Rock Ballads
23,Smooth Jazz
50,Punk Anthems
33,International Beats
58,Chillstep Selection
29,House Party
39,Golden Oldies
48,Teen Pop Hits
26,Chilled Electronica
37,Rap Rhymes
44,Dancehall Bashment
35,Funky Grooves
21,Opera Classics
46,Coffeehouse Tunes
31,Psychedelic Rock
54,Deep House Vibes
51,Hardcore Metal
